trial_index,arm_name,trial_status,generation_method,CH4MSE,CO2MSE,ContinuityErrors,ExecutionTime,TemperatureMSE,VelocityMSE,is_feasible,turbulenceModel,chemistryMechanism,chemistryType,combustionModel,meshResolution,casename
0,0_0,COMPLETED,Sobol,0.06587,0.03939,0.000349271,9645.25,0.03363,0.03029,False,kEpsilon,GRI3,EulerImplicit,EDC,5,SandiaFlameD_trial_3a7e457c6b598289c02d7175105f95ef
1,1_0,COMPLETED,Sobol,0.1844,0.03091,2.14338e-06,240.59,0.06596,0.1167,False,laminar,DRM22,ode,none,7,SandiaFlameD_trial_44c792e8e7a90899fca8ebb9b40c80bc
2,2_0,COMPLETED,Sobol,0.02591,0.1847,0.000337103,872.83,0.07534,0.01997,False,kEpsilon,DRM22,EulerImplicit,EDC,4,SandiaFlameD_trial_f7734c35506a00c1895f84f89a657e1c
3,3_0,COMPLETED,Sobol,0.03308,0.1809,0.000351759,195.26,0.0879,0.02048,False,kEpsilon,GRI3,EulerImplicit,none,5,SandiaFlameD_trial_7b5f30cf526faa780605b24c79678ecc
4,4_0,COMPLETED,Sobol,0.2631,0.02871,1.553153937e-05,354.48,0.06427,0.2405,False,laminar,DRM22,EulerImplicit,laminar,6,SandiaFlameD_trial_d76427bf7780baef611a2e0e6893a8ef
5,5_0,COMPLETED,Sobol,0.07097,0.1604,0.000347509,1917.31,0.0459,0.02657,False,LaunderSharmaKE,DRM22,ode,EDC,5,SandiaFlameD_trial_22504a4812d90018d2e5321bce30a235
6,6_0,COMPLETED,Sobol,0.2267,0.02272,7.40807e-06,768.81,0.03646,0.1206,False,laminar,GRI3,ode,laminar,7,SandiaFlameD_trial_fec8e1d72fa982d380e75255b8f6ed41
7,7_0,COMPLETED,Sobol,0.1803,0.04337,9.60031e-07,494.16,0.05842,0.1047,False,laminar,DRM22,EulerImplicit,laminar,7,SandiaFlameD_trial_624cc44d0ccbf4562d7bf7700890a7a8
8,8_0,COMPLETED,Sobol,0.1157,0.1167,0.000340406,2475.03,0.0797,0.04906,False,LaunderSharmaKE,GRI3,ode,laminar,5,SandiaFlameD_trial_a6e3af0a7c538ef3f002bb78d039317a
9,9_0,COMPLETED,Sobol,0.5598,0.2009,4.303555268e-06,109.36,0.1998,0.2407,False,laminar,GRI3,EulerImplicit,none,3,SandiaFlameD_trial_a4d7561fde9e20bf46f1f89eb9aded51
10,10_0,COMPLETED,FullyBayesian,1.0,1.0,3.94665e-06,179.37,1.0,1.0,False,laminar,GRI3,ode,EDC,7,SandiaFlameD_trial_e28684e62ed71b51781731411c011119
11,11_0,COMPLETED,FullyBayesian,1.0,1.0,3.94665e-06,196.93,1.0,1.0,False,laminar,GRI3,EulerImplicit,EDC,7,SandiaFlameD_trial_e00a1a739a99cd0a0122afb08e192657
12,12_0,COMPLETED,FullyBayesian,0.3481,0.05045,0.0001522148949,570.4,0.03991,0.1172,False,laminar,DRM22,ode,laminar,7,SandiaFlameD_trial_c9fb200475cbde2ad0c39553cf1533e8
13,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,250.16,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
14,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,229.21,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
15,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,228.65,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
16,7_0,COMPLETED,FullyBayesian,0.1803,0.04337,9.60031e-07,437.67,0.05842,0.1047,False,laminar,DRM22,EulerImplicit,laminar,7,SandiaFlameD_trial_624cc44d0ccbf4562d7bf7700890a7a8
17,7_0,COMPLETED,FullyBayesian,0.1803,0.04337,9.60031e-07,417.54,0.05842,0.1047,False,laminar,DRM22,EulerImplicit,laminar,7,SandiaFlameD_trial_624cc44d0ccbf4562d7bf7700890a7a8
18,18_0,COMPLETED,FullyBayesian,0.1804,0.04333,1.606e-06,831.57,0.05856,0.1047,False,laminar,GRI3,EulerImplicit,laminar,7,SandiaFlameD_trial_f2bf1467451ee84a4123520796639b62
19,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,239.44,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
20,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,242.31,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
21,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,243.72,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
22,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,236.79,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
23,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,228.66,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
24,7_0,COMPLETED,FullyBayesian,0.1803,0.04337,9.60031e-07,470.18,0.05842,0.1047,False,laminar,DRM22,EulerImplicit,laminar,7,SandiaFlameD_trial_624cc44d0ccbf4562d7bf7700890a7a8
25,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,248.47,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
26,7_0,COMPLETED,FullyBayesian,0.1803,0.04337,9.60031e-07,433.61,0.05842,0.1047,False,laminar,DRM22,EulerImplicit,laminar,7,SandiaFlameD_trial_624cc44d0ccbf4562d7bf7700890a7a8
27,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,230.7,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
28,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,234.03,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
29,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,228.04,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
30,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,225.4,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
31,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,226.14,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
32,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,235.41,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
33,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,246.12,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
34,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,231.66,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
35,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,223.89,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
36,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,230.83,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
37,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,227.16,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
38,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,234.34,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
39,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,238.1,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
40,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,230.98,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
41,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,242.6,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
42,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,231.6,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
43,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,230.54,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
44,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,247.7,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
45,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,263.26,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
46,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,241.67,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
47,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,261.77,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
48,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,278.27,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
49,13_0,COMPLETED,FullyBayesian,0.1844,0.03091,2.14338e-06,250.91,0.06596,0.1167,False,laminar,DRM22,EulerImplicit,none,7,SandiaFlameD_trial_2cc368891936100e1b1a8c5331316166
